skill,backward_text,original_name
Ghostly warrior 1 vs Nar TN 14 ,">As stumbles about in the mist, she hears and attacking their opponents somewhere ahead of her, and and Leofric doing the same from behind. 's assailant is crushed by her fearsome blow, but 's attack swings wide, and the creature easily avoids his thrust.  Though the blows from both and Leofric were successful, their opponent still stands firm before them, reaching it's ghostly hands towards the determined dwarf. ",Ghostly warrior 1 vs Nar (TN 14)
Ghostly warrior 5 vs TN 8 ,">As stumbles about in the mist, she hears and attacking their opponents somewhere ahead of her, and and Leofric doing the same from behind. 's assailant is crushed by her fearsome blow, but 's attack swings wide, and the creature easily avoids his thrust.  Though the blows from both and Leofric were successful, their opponent still stands firm before them, reaching it's ghostly hands towards the determined dwarf. ",Ghostly warrior 5 vs (TN 8)
Roll,>Awareness roll  ,Roll
Roll,"> strains her eyes to try and see . After a fe seconds she could see two shadows straining against each other and she runs over there.She is now in a battle rage, she who always has full control now starts to loose it a bit. The frustration of having her courage fail her at the gates of Moria, then the Horn failing to make an impact on the creatures with the final failure of striking wide twice in the beginning of the battle.She attacks once more in forward stance! ",Roll
Roll,>ooc: Awareness ,Roll
Roll,">ooc: Spear, defensive (edited for stance) ",Roll
Open,">Watching as the mist envelopes , feels alone. feeling the anger rise in him, he slashes once more at the creature. ",Open
Roll,">Aillnel steps forward, Wraithsbane held high.This is Wraithsbane. It has ended undead far beyond you, foul creature.I am , Captain of the White Tower in Minas Tirith. I will never surrender to the shadow, and neither will any of my valiant companions.She takes another step forward. Looking the wight straight in the eyes, if eyes it has.If you want it, come and claim it!Not waiting for a reply she rushes forward to strike it, forward stance!(OOC: I don't know if it can be attacked, if not disregard my roll) ",Roll
Forward,"> 's heart quails as the ghostly figure takes form in misty shrouds. 's ringing voice, however, gives him resolve and the courage to follow when she advances to attack the creature. With a shout he lunges at the spirit.  ",Forward
FWD,">The Dunadan woman of the North held her spear of the Mark at the ready, while she strode forward to attack the wraith alongside and Nar... ",FWD
Perception,"> rides with Adamant close by his side. Having the bear close gives him comfort as does knowing that had been freed from bearing the stone. She seemed more like her old self and that gave him hope. ]Traveling across the moor, wrapped himself in his thick traveling robe for protection, but still the wind lashed at his face and hands. They must be almost there. A dismal place for the storied Elf haven. Uncharitable thoughts came to unbidden and he found it difficult to suppress them.  ooc: Roll includes the mastery die for the Druadan bracelet and +5 for Stiff Neck ",Awareness
Perception,">Since leaving the Elven-sanctuary, found herself glad to be nearing the end of the long journey from the now distant homeland of and Leofric. The Ranger trots along behind her friends so she may better watch over the Company (especially Nar) and their surroundings. She was the Lookout after all!If there was one thing hated, it was wind. Wind made everything more difficult than necessary and if strong enough, or blowing from the right direction; was even capable of robbing one of their ability to stay warm.ooc: Awareness ",Awareness
Roll,>Awareness roll incl mastery die from the bracelet. ,Roll
Awareness   ,>OOC: Awareness rolls for and Leofric. ,Awareness ( )
Awareness Leofric ,>OOC: Awareness rolls for and Leofric. ,Awareness (Leofric)
Perception,">Amdir and Bramnir stroll over to the crowd. (Bramnir can say it is a professional interest that delays his arrival at the office. As he will scan the crowd for pickpockets!)  At Amdir's request, Donar will tag along. It is a dwarven street and Donar can help with any dwarven words or customs. Donar is also very good at spotting a bargain...(If possible, Amdir will spot Zake and (and ?) and beckon them over: they can walk back to the Scale together after looking over this unusual attraction: it will give them all a few moments to talk with Bramnir before he has to depart - and they can assist if he does find a cutpurse.)""Donar, what do you make of this dwarf; he seems to be the only one not upset at the news? He is doing a roaring trade. Mind you some of those boxes: is that what you would call the 'Finger Craft'?""Amdir will roll Awareness in case he catches anything as they move amongst the crowd. He will attempt Insight on the toy salesman to see if he is happy with the days events or business)ASide: to Bramnir ""Does your training suggest anything odd about this Dwarf? Is this crowd a bit taken in by this dwarf's patter? They are quite a vocal lot...""  ",Awareness
Insight,">Amdir and Bramnir stroll over to the crowd. (Bramnir can say it is a professional interest that delays his arrival at the office. As he will scan the crowd for pickpockets!)  At Amdir's request, Donar will tag along. It is a dwarven street and Donar can help with any dwarven words or customs. Donar is also very good at spotting a bargain...(If possible, Amdir will spot Zake and (and ?) and beckon them over: they can walk back to the Scale together after looking over this unusual attraction: it will give them all a few moments to talk with Bramnir before he has to depart - and they can assist if he does find a cutpurse.)""Donar, what do you make of this dwarf; he seems to be the only one not upset at the news? He is doing a roaring trade. Mind you some of those boxes: is that what you would call the 'Finger Craft'?""Amdir will roll Awareness in case he catches anything as they move amongst the crowd. He will attempt Insight on the toy salesman to see if he is happy with the days events or business)ASide: to Bramnir ""Does your training suggest anything odd about this Dwarf? Is this crowd a bit taken in by this dwarf's patter? They are quite a vocal lot...""  ",Insight
Roll,">Also tries Awareness and uses his more highly developed Insight (due to militia training of course)(ooC: the less said about the insight, the better! will re-roll the awareness as the d12 didn't show) ",Roll
Roll,">Also tries Awareness and uses his more highly developed Insight (due to militia training of course)(ooC: the less said about the insight, the better! will re-roll the awareness as the d12 didn't show) ",Roll
Reroll Awareness,">(Re-rolled Awareness).Bramnir roughly accuses a small hooded person, "" Ere! You boy! what are you doing ?"" But his (Insightful) question is met with a very stern glare and a riposte that anyone nearby hears and then laughs at the embarassed militiaman ""BOY? Boy? I'll have you know, I am a lady, and of several years more than you. If anyone here is a boy, its you, you wet-eared, blind, ignorant great pike!"" The old lady is Mother Crumble, a well known critic of street theatre, who makes her opinions heard loud and clear on every occasion possible. Her caustic comments are always worth a laugh - unless you are on the receiving end of the jibes!Even Amdir is infected by the riposte and straightens a smile as Bramnir turns away from the encounter. ",Reroll Awareness
Persuasion,">sees Amdir waving at him as he and were heading to the Missing Scalenotices the dwarf drawing a crowd...""Wow that is amazing!  I am Zake from Laketown, I am a businessman and I think we should talk.  I can open many markets for you due to my experience on the lake and river.  I reach no lands nobody else can!""ooc: use hope of 10 if it helps (dang it!) ",Courtesy
Insight,">(This is exactly the sort of thing a good officer needs to nip in the bud) (insight first to read the crowd, and the 2 dwarves)Will add Hope +6 if it is important ",Insight
Persuasion,>will try persuade to hold them back ,Persuade
Roll,>Kinzie attempts to stun the satellite.I believe that's Keep Your Cool + Stalwart (0)I still want helm control unless Feathers is back with us though. ,Roll
Resist,>*Rolling 's resist - will update accordingly* ,Resist
StrengthBrawl1,>*Rolling 's Strength + Brawl + 1 Bonus* ,Strength+Brawl+1
Awaken,>*Rolling to Awaken (Difficulty 4) - Will update accordingly* ,Awaken
Sift through his claim,">""Hold on a minute, I haven't finished yet. How can you prove you are a member of Starclan and not that Dark forest place? Which clan are you from and what's your name?"" Call him unimaginative, caustic and boring, but even in his former owner's home liked putting his stock in certainties rather than the supernatural.But this was unexpected, so he decided to sift his unusual intruder's claim, to see if it was a cunning bluff. ",Sift through his claim
Run,">""Oh no, I don't know any cats with one eye at all,wait maybe I should warn the leader about this. How mouse brained am I to forgot Treestar's name, when the others told me he founded the clan. Erm Mousepaw, can you look after my herbs for me, it's important?"" looks at the dappled tortoise shell apprentice with urgency.(Warrior Code lowers to 3 as a result of unintentionally insulting Treestar.)He hurries over to the leader of Shadowclan's den as his deputy leaves and states. ""Erm Shadestar, Treestar told me to give you this prophecy it's important, as in if I told anyone else we'd be doomed level. Let's see, ah yes. When air falls and water meets sky, fear the cat with just one eye. Though from out of the ashes, one will rise and travel to live under new skies. I think that was it."" He'd probably keep the embarrassing moment when he insulted their founder to the stars themselves. ",Run
Lore check on the prophecy,">""Oh no, I don't know any cats with one eye at all,wait maybe I should warn the leader about this. How mouse brained am I to forgot Treestar's name, when the others told me he founded the clan. Erm Mousepaw, can you look after my herbs for me, it's important?"" looks at the dappled tortoise shell apprentice with urgency.(Warrior Code lowers to 3 as a result of unintentionally insulting Treestar.)He hurries over to the leader of Shadowclan's den as his deputy leaves and states. ""Erm Shadestar, Treestar told me to give you this prophecy it's important, as in if I told anyone else we'd be doomed level. Let's see, ah yes. When air falls and water meets sky, fear the cat with just one eye. Though from out of the ashes, one will rise and travel to live under new skies. I think that was it."" He'd probably keep the embarrassing moment when he insulted their founder to the stars themselves. ",Lore check on the prophecy
Hurry back,">The York medicine cat mulls Shadestar's words over , before meowing. ""Alright leader, I'll go back to check on my herbs. Hopefully no one tried to snatch any.""He hurried back again with an uncertain glimmer in his eyes, what could unfold from this?(Warrior Code rises back to 4, as a result of telling Shadestar about the Starclan Prophecy.) ",Hurry back
Perception,">“I suggest we leave our current comm gear here. e can grab a new set when we hit…” he looks around. “ ell… along the route we are taking.” He takes out his own comm, drops it, steps on it, pulls the battery and storage out of the remains, pockets the storage and tosses the rest.“ , if you could check out the systems on the Venture and make sure nothing nasty is in there, that’d be useful.” spends his time going over the exterior of the Venture, looking for unwanted guests {five perception successes}. He also keeps an eye on the crew installing the cannon. hen he’s done, he pulls his fellow runners, and Fiona, into a cluster and says in a low voice “Hopefully, the biggest problem on this trip will be finding fuel. I have some inside info from my smuggler friend, but if any of you have friends along the way, now’s the time to call in favors.” ",Perception
Roll,>V ector reaches out for the magnetic waves.  Looking. Feeling. Looks clean but I am not feeling strongly either way.  ,Roll
Roll,>plugs in to look too. I got nothin.  ,Roll
glitch,> rolls a glitch die. ,glitch
Roll,">As the Venture lifts off from the border checkpoint and points its nose towards Seattle, Jam watches the interplay between Coy and Fiona, as slowly opens the clasps confining the sword. Jam sees only an ordinary sword, although Coy and Fiona seem to be heavily engaged in discussion.Briefly, Jam sees the sword give off an ethereal glow of white light, as slams the lid shut.  Fantastic.  Jam knows that, on the one hand, is seriously pissed at Jam for Fiona coming along.On the other hand is the fifty percent Madame Craig has agreed to.  knows this: if wants that badly to keep that thing in its orichalcum cage, it's worth a shitload of money. comes onto the comms: ""Sixty seconds to ground.  Everyone needs to buckle up, right now.""  Jam gets the external video and sees the warehouse door open and outlined by low-duty-cycle infrared blinker tape.  It's getting larger, really fast. dives the T-bird directly at the door, reversing thrust with a scream of turbines that ends up with the vehicle still, right at the entrance of the warehouse. Jam shakes his head as flips the Venture 180 degrees around its vertical axis and backs it into the garage, in less than ten seconds.Once the door is closed, Jam watches in satisfaction as his team strips the chin mount of the Venture and rapidly mounts the old school, NATO-standard 25mm autocannon.  Jam sends a request to about a software upgrade and, getting approval, uploads the accompanying control code.Jam looks at , completely dialed in, as the software upgrade hits.  The autocannon does 10P base damage with -4 defense dice for 5 round bursts.  's only reaction is a slight dilation of his pupils.Jam loads a proposed travel route for discussion, generally traveling straight west to Minnesota and then south on the river. As Jam loads the last of the gold and ammo aboard the Venture, he sees Mainstay finish mounting the second missile onto the airframe.  ""You're good to go.  And you need to get the hell out of here.  Now.""Jam rolls perception to see if he can elude the heat he knows is closing in before they leave town (edit: 5 successes) ",Roll
Piloting Other ,"> “Ladies and gentlemen… and… other passengers, we are approaching the border of the Sioux Nation. Fortunately, Mother Nature has provided us some nice mountains to give us excellent cover, but the route is… a bit twisty. Please put a lid on any liquids you don’t want to wear.” The Venture spends the next fifteen minutes making unpredictable turns, sometimes nearly on its side. {5 piloting successes.} Eventually, the LAV settles a bit, and the mountain terrain gives way to way to hills and gulleys. To the north, an endless patchwork of farms extends to the horizon. “ elcome to the Sioux Nation. ETA to our first stop, south of Billings, is ten minutes. If you have business to conduct with the ground before then, now’s your chance.” ",Piloting (Other)
Roll,">I will use 8 of the 9 AP to raise 's Travel to 2I will use 6 of the 11 XP to raise Valour to 3 I will use 4 XP to raise 's Dagger to 2 (he does after all wrestle quite a bit, haha)Leaving me with 1 AP and 1 XP bankedAs for FPU I think that the only ones that are narratively plausible are Market Pool, Herb gathering and stay at the Missing scale. But he has no treasure to spend, and I think Sigmund wants to keep an eye on and would not let him stay at an inn for a week all by himself.So search for herbs it is!  :-)Here comes the roll!Edited: Oh yes! And as for reward - the cultural rewards for Beornings aren't really any good imo, except for maybe the splitting axe. Can I choose that but get the effect on my spear instead? No wait! I'll choose Made in anvil way! On the spear. I'm sure that Geli could hook a brother up with a good dwarven smith ;-) ",Roll
Perception,">"" , wait! This room is probably filled with traps.""Digs scans the room ",Perception
Investigation,"> looks to the hare then at Elmo.""I better not be Fatso...""He gets up and walks over to the hare to examine the trident and note. ",INVESTIGATION
Investigation,> tosses the note over his shoulder and storms out of the door.As he walks down the hall cursing and grumbling to himself about the Redblades he retraces the rest of the teams foot steps to find out where they have disappeared to. follows their trail to the room full of stalagmites and begins to search for them as they seem to have disappeared. ,INVESTIGATION
Investigation,"> stops as soon as he hears what sounds like a woman screaming. He turns in a circle looking around for where the blasted noise is coming from.""Who is doing the screeching!? Where are you woman!?"" ",INVESTIGATION
Perception,"> tucks the tome inside her vest, and moves around the perimeter of the hall... interested in the details of the weapons and paintings for certain, but also looking for any sign that the assassin might have escaped the chamber somehow... ",Perception
Investigation,"> tucks the tome inside her vest, and moves around the perimeter of the hall... interested in the details of the weapons and paintings for certain, but also looking for any sign that the assassin might have escaped the chamber somehow... ",Investigation
Investigation,"> finally hears Alyssa and looks around at the stalagmites.""Yeah! They are kind of hard to miss! What about them!?"" begins to look around at them trying to figure out what in the hell she is babbling on about. ",INVESTIGATION
Agility,">Dig tries to grab him and puts his sword up to his throat.""Make a sound and I'll slit your throat."" ",Agility
Strength,">"" Ha you are trying to take me by yourself?""Dig tries to grapple him. ",Strength
Unarmed Strike 1,">Starting to pant slightly from all this running, Elmo turns and runs back to Digs. If the rogue manages to slip out of his grapple, Elmo is gonna start punching and kicking, trying to knock him down. ",Unarmed Strike 1
Damage 1,">Starting to pant slightly from all this running, Elmo turns and runs back to Digs. If the rogue manages to slip out of his grapple, Elmo is gonna start punching and kicking, trying to knock him down. ",Damage 1
Unarmed Strike 2,">Starting to pant slightly from all this running, Elmo turns and runs back to Digs. If the rogue manages to slip out of his grapple, Elmo is gonna start punching and kicking, trying to knock him down. ",Unarmed Strike 2
Damage 2,">Starting to pant slightly from all this running, Elmo turns and runs back to Digs. If the rogue manages to slip out of his grapple, Elmo is gonna start punching and kicking, trying to knock him down. ",Damage 2
Unarmed Strike 3,">Starting to pant slightly from all this running, Elmo turns and runs back to Digs. If the rogue manages to slip out of his grapple, Elmo is gonna start punching and kicking, trying to knock him down. ",Unarmed Strike 3
Damage 3,">Starting to pant slightly from all this running, Elmo turns and runs back to Digs. If the rogue manages to slip out of his grapple, Elmo is gonna start punching and kicking, trying to knock him down. ",Damage 3
THROW,">With everyone pouncing on the rogue takes a step back to lean against the cave wall.""Let me know when y'all decide to stop goofing off...""Then rolls his eyes and throws a dagger at the rogue when he sees an opening. ",THROW
DAMAGE,">With everyone pouncing on the rogue takes a step back to lean against the cave wall.""Let me know when y'all decide to stop goofing off...""Then rolls his eyes and throws a dagger at the rogue when he sees an opening. ",DAMAGE
THROW,"> grins at , pulls another dagger from his leg and throws it at the Rogue, this time aiming for a leg. ",THROW
Investigation,">""Darn, it would have been nice to be able to ask him some questions..."" Elmo starts rummaging through the ferret's robes, seeing if he has anything useful, valuable, or informative on him. ",Investigation
Roll,>Syntax test ,Roll
Roll,>Syntax test ,Roll
Roll,>Syntax test ,Roll
Roll,>Teeeeest ,Roll
Roll,">Huh, looks like it still rolled four dice. ",Roll
Roll,>Does it do any roll and keep stuff?  ,Roll
Persuasive 13,">2. Manfredwood the Butler. He was born in the Daar Mansion in Yndaros, which inspired the design of this house, and followed Balon Daar to Thistle Hold when the architect moved; Manfredwood's grandfather and father were butlers before him. Now in his eighties, his greatest shame is that his son did not choose to follow in the family tradition. Consequently, he has continued to attend to the duties of the household, in the hopes that one day one of his grandchildren (or great-grandchildren) will return to the ancestral nest and prevent the line being broken.It is his habit to deliver a cooked breakfast to the rooms of owners-in-residence each morning at dawn... even if they've asked him not to. ",Persuasive 13
Trinket,"> walks around the mansion exploring. That's when he found it: the study. It was bigger than any home he had ever lived in. It had beautiful rugs over the hardwood floors, an ornately designed desk. He looked around at the bookshelves stuffed with books and trinkets. Oh thank the heavens, there was even bottles of liquor on the shelves. He moved jauntily to the sitting area near the fireplace. Cigars? Who was the person who had this place before them? This was insane. He called out ""Hey guys, I found my room!""Roll 1d100 for the most impressive trinket left on site. ",Trinket
Vigilant 10,">The one piece of art is a work of brass five feet high by ten feet high, riveted into the wall.  It depicts flames in an almost impressionist style, twisting and turning up from a bonfire.  Disturbingly, from some angles there are hints of distorted, screaming faces and contorted bodies threaded throughout, evoking the idea of someone being burned alive.  It is both grotesque and beautiful. ",Vigilant 10
Treasure,">3. The top level of the three storey structure can be spotted from the surrounding streets. The single room on that level is unusual. Accessible by a narrow (and somewhat rickety) spiral staircase the uppermost room of the mansion sits at the top of a octagonal turret, and has shuttered windows that can be opened to look across the Hold in every direction. The staircase delivers climbers to the north edge of the room, and in the centre, on a slightly raised platform, is a plush leather armchair, dusty and marked from age and use. Beside the chair, attached to a rod rising vertically from the platform, is a small wheel - turning the wheel rotates both the platform and the chair, affording the viewer a 360 degree view of the Hold, without having to leave the comfort of their seat.Roll 1d6-3. A positive number will result in the discovery of a treasure, the quality of which is better the higher the number. Negative numbers reveal nothing. ",Treasure
Specialist Amenities,">1. The original owner (and builder) of the mansion was Balon Daar, who also designed and oversaw construction of the Beacon. He built it as a near-exact replica of his ancestral family seat in Yndaros.It was kept quiet at the time, but Daar was one of the earliest people to commit suicide by leaping from the top of the Beacon. ",Specialist Amenities
Repairs,">7. Some impressive element of the mansion is in disrepair. It is not necessary but could be a great improvement.At the rear of the house, leading out into the garden, a large solarium had been constructed, with the ceiling and walls comprised of small panes of glass supported by a latticework of wooden framing. Within the structure were a vast variety of potted plants, some large and tree-like, others small and bushy, along with an assortment of herbs, creepers, flowers and grasses. A twisting gravel path led from the house proper to the garden, wending its way amongst the flora before depositing wanderers on a small lawn at the rear of the property. At some point, however, a number of the glass panes in the roof of the solarium had been broken, allowing the rain to run in, which had caused substantial water damage. Many of the plants too were somewhat worse for wear - some needed pruning, others repotting, and most needed water - it would certainly take a lot of work to put things right again. Roll 10D20 to determine the thaler cost of the repair. ",Repairs
Roll," style=""margin-top: 10px; line-height: 24px; font-size: 13px; font-family: Verdana, ""Helvetica Neue"", sans-serif; background-color: rgb(255, 255, 255);"">8. A small golden key sits on a side table in the foyer. What is it for?The key goes to a large, locked leatherbound tome that sits in the study.  It is haughtily titled ""A Book of Days"".  It contains the daily records of the house's affairs as updated by Manfredwood. ",Roll
Cunning 10 ,">6. Bakers, milkmen and candlemakers all have delivery contracts until the end of the year (2 months away). What is the most interesting or unusual service contract still in place?The most interesting AND the most unusual service was the weekly delivery (don't ask how) of fresh fruit found only in the capital region. didn't complain about it, he just enjoyed the fruits, pun intended, of the contract. Roll Cunning to discover who has taken advantage of the confusion and is not all they seem. ",Cunning (10)
Perception skill check,">""I don't know, but it feels like someone else is following us. The looks on those cat's faces spelled trouble for us all."" I reply with   a lowered tone while trying to scope out who it is, as we head towards Sunstar's den. ",Perception skill check
Strength skill check,">Oh for Starclan's sake, this has to happen! ""Back, fox! Hawkfeather, Runningpelt and Leafbreeze, if you want to help try and stop this fox, I'd greatly appreciate it!"" I shout urgently as I struggle to to stop my leader's throat being crushed by the fox, careful not to let my sharp claws injure anything important. ",Strength skill check
